        13: G21  2018- 1- 2  0: 6:30.0000000  Eliminate info: elevation angle is 7.31 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        14: G11  2018- 1- 2  0: 7: 0.0000000  Eliminate info: elevation angle is 4.51 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        14: G21  2018- 1- 2  0: 7: 0.0000000  Eliminate info: elevation angle is 7.27 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        15: G11  2018- 1- 2  0: 7:30.0000000  Eliminate info: elevation angle is 4.67 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        15: G21  2018- 1- 2  0: 7:30.0000000  Eliminate info: elevation angle is 7.23 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        16: G11  2018- 1- 2  0: 8: 0.0000000  Eliminate info: elevation angle is 4.83 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        16: G21  2018- 1- 2  0: 8: 0.0000000  Eliminate info: elevation angle is 7.19 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        17: G11  2018- 1- 2  0: 8:30.0000000  Eliminate info: elevation angle is 4.99 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        17: G21  2018- 1- 2  0: 8:30.0000000  Eliminate info: elevation angle is 7.14 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        18: G11  2018- 1- 2  0: 9: 0.0000000  Eliminate info: elevation angle is 5.15 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        18: G21  2018- 1- 2  0: 9: 0.0000000  Eliminate info: elevation angle is 7.10 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        19: G11  2018- 1- 2  0: 9:30.0000000  Eliminate info: elevation angle is 5.31 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        19: G21  2018- 1- 2  0: 9:30.0000000  Eliminate info: elevation angle is 7.06 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        20: G11  2018- 1- 2  0:10: 0.0000000  Eliminate info: elevation angle is 5.47 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        20: G21  2018- 1- 2  0:10: 0.0000000  Eliminate info: elevation angle is 7.01 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        21: G11  2018- 1- 2  0:10:30.0000000  Eliminate info: elevation angle is 5.63 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
